# BEAST v1.8.4
# Generated Fri Mar 27 11:06:17 CST 2026 [seed=1774580776976]
# -overwrite -beagle_off D:\naturedna\evoflux-reproduce\figures\reproduced\pisca_zenodo_fig4\fig4b_case19_zenodo.xml
state	posterior	prior	likelihood	biallelicBinary.demethylation	biallelicBinary.homozygousDemethylation	biallelicBinary.homozygousMethylation	treeModel.rootHeight	luca_height	luca_branch	constant.popSize	clock.rate	coalescent
230000	-2354.957263824309	-14.315992365344822	-2340.641271458964	0.7880656476569444	1.1378979642411229	0.8506475390608081	14.815168395492634	89.167009	74.35184060450736	2.7838875829823904	0.014478122509880167	-8.805591462358386
235000	-2353.4095513685256	-16.796191782325547	-2336.6133595862	0.9739850651944333	1.203531157861686	0.8742751297783247	14.701484325015917	89.167009	74.46552467498408	7.148125841694622	0.014567406939173983	-9.963594359050958
240000	-2354.7277274225	-16.350582665656802	-2338.377144756843	0.7439974691664912	1.0739440337547979	0.7702418668424429	14.462250060962257	89.167009	74.70475893903773	7.136313527257247	0.015068065055400127	-10.130300838974097
245000	-2359.7089927692073	-16.548194909775756	-2343.1607978594316	0.839381835162513	1.112777656021439	0.9658720915757121	14.571810370194944	89.167009	74.59519862980505	5.718098513980262	0.014403281143454877	-10.145229498689192
250000	-2356.7182985708705	-14.755312848772997	-2341.9629857220975	0.656799968118429	1.2096149204044861	0.7293948522785172	14.441373868000277	89.167009	74.72563513199972	4.057641156399531	0.01667147720637862	-8.963594002716587
255000	-2357.5550481410037	-18.884867050143445	-2338.6701810908603	0.8482931280187551	1.194234334925628	0.8804351581454787	14.49234818719845	89.167009	74.67466081280155	13.81075527901266	0.013161106597044614	-11.585412046101654
260000	-2351.84286106215	-15.522881282216957	-2336.319979779933	1.022728871317302	1.1390924959477913	0.8759292695854376	14.524533325215058	89.167009	74.64247567478493	5.016280083973337	0.015536717792473067	-9.066632779696695
265000	-2355.3364351009795	-17.801975483576513	-2337.534459617403	1.0104517854304602	1.2037343565668226	0.8261097497063008	14.48192918990888	89.167009	74.68507981009111	10.000160214188767	0.014011849679499278	-10.64371428177955
270000	-2357.8399022995645	-17.652531854549057	-2340.1873704450154	0.8442464963768699	1.099921320214899	0.8261097497063008	14.641483491136118	89.167009	74.52552550886388	0.9988931675308192	0.01444391742776284	-13.19415479676371
275000	-2352.6700775075274	-14.204423310225303	-2338.4656541973022	0.7083574768682276	1.0925624647762464	0.7441938849918774	14.54963857968629	89.167009	74.6173704203137	3.45022423454554	0.015720830970223396	-8.729983737475138
280000	-2353.9235101620466	-16.997108371642828	-2336.926401790404	0.991967444085462	1.274054268136307	0.979260244474846	14.466315878396404	89.167009	74.70069312160359	6.415036883220832	0.014571285673552798	-9.981247571884213
285000	-2356.3227138874363	-14.438730803255114	-2341.883983084181	0.831849570221921	1.1016938334961754	0.8727010435731409	14.529984055458879	89.167009	74.63702494454111	1.4665092078243156	0.016585714172023303	-9.530430322932913
290000	-2352.735538326067	-16.21465513368703	-2336.52088319238	1.0678524338948154	1.2546049850115701	0.9792332951842031	14.496766685512728	89.167009	74.67024231448727	5.676084932365061	0.01492342851015667	-9.234450830780398
295000	-2351.4718540574536	-15.790253020822513	-2335.681601036631	1.0942752396697042	1.2406164690462862	0.974447550075003	14.457564184966614	89.167009	74.70944481503338	4.453449035547108	0.015291518888661888	-9.037869931484922
300000	-2354.3468405872195	-16.01114366056171	-2338.335696926658	0.9208391999465347	1.3461208826086126	0.9267540140325481	14.875811531752884	89.167009	74.2911974682471	4.40269999557022	0.014177189177429368	-9.429239989729377
